timestamp,index,temperature_c,power_w,utilization_pct
2026/08/15 20:39:47.762,0,32,106.02,0
2026/08/15 20:39:47.767,1,30,86.26,0
2026/08/15 20:39:48.796,0,32,96.53,0
2026/08/15 20:39:48.800,1,30,77.27,0
2026/08/15 20:39:49.830,0,32,96.57,0
2026/08/15 20:39:49.833,1,30,75.75,0
2026/08/15 20:39:50.861,0,32,96.93,0
2026/08/15 20:39:50.865,1,30,75.84,0
2026/08/15 20:39:51.894,0,32,96.87,0
2026/08/15 20:39:51.898,1,30,75.59,0
2026/08/15 20:39:52.926,0,33,117.01,0
2026/08/15 20:39:52.930,1,31,93.37,0
2026/08/15 20:39:53.959,0,33,115.31,0
2026/08/15 20:39:53.964,1,31,91.30,0
2026/08/15 20:39:54.994,0,32,101.99,0
2026/08/15 20:39:54.998,1,30,78.43,0
2026/08/15 20:39:56.028,0,32,66.08,0
2026/08/15 20:39:56.033,1,30,46.94,0
2026/08/15 20:39:57.069,0,32,64.78,0
2026/08/15 20:39:57.073,1,30,46.44,0
2026/08/15 20:39:58.103,0,32,59.97,0
2026/08/15 20:39:58.107,1,30,41.18,0
2026/08/15 20:39:59.139,0,31,51.20,0
2026/08/15 20:39:59.145,1,30,40.55,0
2026/08/15 20:40:00.179,0,31,38.82,0
2026/08/15 20:40:00.185,1,29,15.40,0
2026/08/15 20:40:01.222,0,31,26.64,0
2026/08/15 20:40:01.230,1,29,15.20,0
2026/08/15 20:40:02.267,0,31,26.11,0
2026/08/15 20:40:02.275,1,29,14.90,0
2026/08/15 20:40:03.312,0,31,24.09,0
2026/08/15 20:40:03.320,1,29,13.65,0
2026/08/15 20:40:04.357,0,31,24.06,0
2026/08/15 20:40:04.365,1,29,13.61,0
2026/08/15 20:40:05.407,0,31,24.15,0
2026/08/15 20:40:05.414,1,29,13.44,0
2026/08/15 20:40:06.453,0,31,24.35,0
2026/08/15 20:40:06.462,1,29,13.56,0
2026/08/15 20:40:07.502,0,31,24.49,0
2026/08/15 20:40:07.510,1,29,13.71,0
2026/08/15 20:40:08.587,0,31,25.85,0
2026/08/15 20:40:08.599,1,29,14.81,0
2026/08/15 20:40:09.652,0,31,29.37,0
2026/08/15 20:40:09.675,1,29,17.43,0
2026/08/15 20:40:10.744,0,31,25.42,0
2026/08/15 20:40:10.766,1,29,13.85,0
2026/08/15 20:40:11.835,0,31,25.52,0
2026/08/15 20:40:11.856,1,29,13.72,0
2026/08/15 20:40:12.930,0,31,25.49,0
2026/08/15 20:40:12.952,1,29,13.91,0
2026/08/15 20:40:14.026,0,31,25.72,0
2026/08/15 20:40:14.048,1,29,14.46,0
2026/08/15 20:40:15.123,0,31,25.71,0
2026/08/15 20:40:15.144,1,29,14.06,0
2026/08/15 20:40:16.214,0,31,25.93,0
2026/08/15 20:40:16.235,1,29,13.57,0
2026/08/15 20:40:17.304,0,31,25.79,0
2026/08/15 20:40:17.327,1,29,13.56,0
2026/08/15 20:40:18.399,0,31,25.47,0
2026/08/15 20:40:18.424,1,29,13.72,0
2026/08/15 20:40:19.497,0,31,25.06,0
2026/08/15 20:40:19.518,1,29,14.41,0
2026/08/15 20:40:20.589,0,31,25.53,0
2026/08/15 20:40:20.610,1,29,14.17,0
2026/08/15 20:40:21.684,0,31,25.38,0
2026/08/15 20:40:21.706,1,29,14.12,0
2026/08/15 20:40:22.779,0,31,25.19,0
2026/08/15 20:40:22.801,1,29,14.78,0
2026/08/15 20:40:23.872,0,31,25.91,0
2026/08/15 20:40:23.893,1,29,14.89,0
2026/08/15 20:40:24.965,0,31,25.95,0
2026/08/15 20:40:24.985,1,29,14.20,0
2026/08/15 20:40:26.057,0,31,25.48,0
2026/08/15 20:40:26.080,1,29,13.57,0
2026/08/15 20:40:27.158,0,31,25.27,0
2026/08/15 20:40:27.181,1,29,13.55,0
2026/08/15 20:40:28.258,0,31,25.16,0
2026/08/15 20:40:28.280,1,29,13.46,0
2026/08/15 20:40:29.355,0,31,25.24,0
2026/08/15 20:40:29.377,1,29,13.54,0
2026/08/15 20:40:30.447,0,31,25.10,0
2026/08/15 20:40:30.471,1,29,13.51,0
2026/08/15 20:40:31.564,0,31,25.86,0
2026/08/15 20:40:31.585,1,29,13.84,0
2026/08/15 20:40:32.654,0,31,27.24,0
2026/08/15 20:40:32.658,1,30,26.86,0
2026/08/15 20:40:33.688,0,32,98.74,1
2026/08/15 20:40:33.693,1,30,78.35,1
2026/08/15 20:40:34.725,0,32,110.64,3
2026/08/15 20:40:34.730,1,30,90.84,7
2026/08/15 20:40:35.763,0,32,97.57,2
2026/08/15 20:40:35.767,1,30,77.54,5
2026/08/15 20:40:36.798,0,32,97.60,2
2026/08/15 20:40:36.803,1,30,77.98,4
2026/08/15 20:40:37.835,0,33,97.52,2
2026/08/15 20:40:37.839,1,31,78.23,5
2026/08/15 20:40:38.870,0,33,97.49,2
2026/08/15 20:40:38.875,1,31,77.70,5
2026/08/15 20:40:39.905,0,33,97.66,3
2026/08/15 20:40:39.910,1,31,77.96,5
2026/08/15 20:40:40.942,0,33,97.71,3
2026/08/15 20:40:40.946,1,31,76.97,4
2026/08/15 20:40:41.976,0,33,97.91,3
2026/08/15 20:40:41.981,1,31,77.60,5
2026/08/15 20:40:43.014,0,33,97.85,3
2026/08/15 20:40:43.018,1,31,78.22,5
2026/08/15 20:40:44.049,0,33,97.60,3
2026/08/15 20:40:44.054,1,31,77.67,5
2026/08/15 20:40:45.086,0,33,97.51,3
2026/08/15 20:40:45.091,1,31,77.14,4
2026/08/15 20:40:46.122,0,33,97.52,3
2026/08/15 20:40:46.128,1,31,77.64,5
2026/08/15 20:40:47.159,0,33,97.40,2
2026/08/15 20:40:47.163,1,31,76.99,5
2026/08/15 20:40:48.195,0,33,97.54,3
2026/08/15 20:40:48.201,1,31,77.32,5
2026/08/15 20:40:49.233,0,33,97.42,3
2026/08/15 20:40:49.238,1,31,77.61,5
2026/08/15 20:40:50.269,0,33,97.43,2
2026/08/15 20:40:50.274,1,31,77.42,4
2026/08/15 20:40:51.306,0,33,97.44,2
2026/08/15 20:40:51.311,1,31,78.16,5
2026/08/15 20:40:52.342,0,33,97.59,2
2026/08/15 20:40:52.347,1,31,77.97,5
2026/08/15 20:40:53.378,0,34,97.77,2
2026/08/15 20:40:53.383,1,31,78.38,5
2026/08/15 20:40:54.413,0,34,97.71,2
2026/08/15 20:40:54.418,1,31,78.74,4
2026/08/15 20:40:55.448,0,34,97.42,2
2026/08/15 20:40:55.453,1,31,78.47,4
2026/08/15 20:40:56.484,0,34,97.76,2
2026/08/15 20:40:56.489,1,32,79.01,4
2026/08/15 20:40:57.519,0,34,97.56,3
2026/08/15 20:40:57.524,1,32,78.71,4
2026/08/15 20:40:58.554,0,34,97.23,2
2026/08/15 20:40:58.559,1,32,78.45,4
2026/08/15 20:40:59.591,0,34,97.45,2
2026/08/15 20:40:59.595,1,32,78.17,4
2026/08/15 20:41:00.627,0,34,97.59,3
